@attribute 'UnaryExpr' integer
@attribute 'UnionType' integer
@attribute 'UnknownType' integer
@attribute 'VariableDeclarationExpr' integer
@attribute 'VariableDeclarator' integer
@attribute 'VoidType' integer
@attribute 'WhileStmt' integer
@attribute 'WildcardType' integer
@attribute 'classification' integer
@attribute 'ID' integer

@data 

0, 0, 0, 0, 0, 0, 1, 0, 5, 5, 1, 12, 5, 2, 1, 0, 0, 1, 1, 15, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 23, 2, 1, 0, 2, 5, 6, 0, 0, 7, 0, 4, 0, 0, 4, 0, 0, 0, 0, 35, 6, 0, 22, 43, 0, 0, 0, 3, 1, 2, 5, 2, 114, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 8, 9, 4, 1, 0, 0, 19
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 1, 1, 9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 5, 3, 0, 0, 0, 1, 6, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 11, 4, 0, 22, 8, 0, 0, 0, 2, 1, 2, 0, 2, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 20
0, 0, 0, 0, 0, 0, 2, 0, 2, 4, 0, 13, 0, 0, 0, 3, 0, 1, 1, 20, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 23, 0, 0, 0, 0, 0, 8, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 0, 25, 6, 0, 30, 28, 0, 0, 1, 4, 1, 5, 0, 2, 92, 0, 6, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 6, 6, 4, 0, 0, 0, 21
0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 7, 0, 0, 0, 0, 0, 1, 1, 10, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 8, 2, 0, 0, 2, 0, 5, 0, 0, 2, 0, 2, 0, 0, 1, 0, 0, 1, 0, 17, 4, 0, 20, 20, 0, 0, 0, 2, 1, 2, 2, 2, 61, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 4, 2, 0, 0, 0, 22
0, 0, 0, 0, 0, 0, 1, 0, 3, 7, 1, 14, 0, 1, 3, 1, 0, 1, 1, 23, 1, 0, 1, 1, 0, 0, 4, 0, 0, 1, 29, 5, 0, 0, 2, 2, 9, 0, 0, 12, 0, 5, 0, 0, 2, 0, 0, 0, 0, 55, 8, 0, 33, 49, 0, 0, 0, 3, 1, 3, 2, 4, 154, 0, 8, 2, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 9, 9, 4, 0, 0, 0, 23
0, 0, 0, 0, 0, 0, 1, 0, 2, 9, 1, 15, 0, 1, 3, 1, 0, 1, 1, 21, 1, 0, 1, 1, 0, 0, 4, 0, 0, 1, 39, 12, 0, 0, 3, 2, 7, 0, 0, 26, 0, 4, 0, 0, 3, 0, 0, 0, 0, 92, 8, 0, 25, 73, 0, 0, 0, 2, 1, 3, 3, 3, 221, 0, 16, 1, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 10, 10, 5, 0, 0, 0, 24
0, 0, 0, 0, 0, 0, 1, 0, 20, 113, 1, 45, 0, 0, 2, 0, 0, 1, 1, 50, 1, 0, 1, 0, 0, 1, 27, 0, 0, 1, 82, 2, 1, 0, 17, 3, 6, 0, 0, 110, 0, 3, 0, 0, 0, 0, 0, 0, 0, 194, 22, 0, 22, 248, 0, 0, 0, 3, 1, 3, 18, 3, 576, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 54, 55, 19, 0, 0, 0, 25
0, 0, 0, 0, 0, 0, 1, 0, 5, 9, 1, 16, 5, 3, 3, 1, 0, 1, 1, 21, 1, 0, 1, 3, 0, 0, 4, 0, 0, 1, 25, 2, 1, 0, 3, 8, 7, 0, 2, 7, 0, 7, 0, 0, 2, 0, 0, 0, 0, 44, 7, 0, 25, 51, 0, 0, 0, 3, 1, 3, 5, 2, 140, 0, 6, 2, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 0, 9, 10, 5, 0, 0, 0, 26
0, 0, 0, 0, 0, 0, 1, 0, 5, 7, 1, 10, 0, 0, 0, 0, 0, 1, 1, 23, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 25, 3, 0, 0, 0, 1, 7, 0, 0, 7, 0, 5, 0, 0, 5, 0, 0, 0, 0, 33, 8, 0, 26, 36, 0, 0, 0, 4, 1, 2, 1, 4, 114, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7, 7, 4, 1, 0, 0, 27
0, 0, 0, 0, 0, 0, 1, 0, 11, 6, 1, 14, 8, 0, 0, 2, 0, 1, 1, 24, 1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 36, 0, 0, 0, 1, 0, 6, 0, 0, 6, 0, 11, 0, 0, 0, 0, 0, 0, 0, 47, 9, 0, 22, 50, 0, 0, 1, 4, 1, 9, 3, 4, 149, 0, 20, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 8, 8, 5, 0, 0, 0, 28
